Botanical Ascending,Common,Type,Height,Width,Polinator
Achillea hybrids,Yarrow Hybrids,Ground Cover,1-3 ft.,1-3 ft.,Bees
Acmispon glaber,Deerweed,Shrub,1.6-3 ft.,3 ft.,Bees
Arctostaphylos den. 'Howard McMinn',Howard McMinn Manzanita,Shrub,5-8 ft.,6-10 ft.,Bees
Arctostaphylos spp.,Manzanita,Shrub,0.5-25 ft.,1-15 ft.,Bees
Aster X frikartii,Blue Aster,Perennial,1-3',,Bees
Bulbine frutescens,Yellow Stalked Bulbine,Succulent,1-3',1-3',Bees
Caryopteris x clandonensis 'Dark Knight',Dark Knight Bluebeard,Shrub,2 ft.,2 ft.,Bees
Ceanothus 'Dark Star',Dark Star Ceanothus,Shrub,3-5 ft.,3-5 ft.,Bees
Centaurea cineraria,Dusty Miller,Perennial,0.6-2 ft.,1-2 ft.,Bees
Erigeron glaucus 'Wayne Roderick',"Seaside Daisy, Beach Fleabane",Ground Cover,1-3',,Bees
Eriogonum giganteum,St. Catherine's Lace,Shrub,1.5-6 ft.,4-10 ft.,Bees
Eschscholzia californica,California Poppy,Annual,Under 1',Under 1',Bees
Grindelia stricta,Coastal Gumweed,Perennial,Under 1',1-3',Bees
Helianthus annuus 'Delta Sunflower',Delta Sunflower,Annual,6 ft.,5 ft.,Bees
Lavandula angustifolia,English Lavender,Shrub,"1-3', 3-6'",1-3',Bees
Mimulus X hybridus,Sticky Monkey Flower,Perennial,"1-3', 3-6'","1-3', 3-6'",Bees
Monardella villosa,Coyote Mint,Shrub,1-3',1-3',Bees
Nepeta racemosa 'Walker's Low',Walker's Low Catmint,Perennial,1.5 ft.,2 ft.,Bees
Ocimum basilicum 'African Blue',African Blue Basil,Annual,3 ft.,3 ft.,Bees
Penstemon parryi,Parry's Penstemon,Perennial,3-5 ft.,4-5 ft.,Bees
Phacelia californica,Rock Phacelia,Perennial,0.5-2 ft.,0.5-1.5 ft.,Bees
Prunus ilicifolia ssp. lyonii,Catalina Cherry,Tree,"6-12', 12-25'",6-12',Bees
Ribes aureum var. gracillimum,Golden Currant,Shrub,3-6',6-12',Bees
Rosmarinus officinalis,Rosemary,Herb,3-6',1-3',Bees
Salvia brandegeei,Brandegee's Sage,Shrub,3-6',3-6',Bees
Solidago californica,California Goldenrod,Perennial,1-3',,Bees
Symphoricarpos albus,Snowberry,Shrub,3-6 ft.,3-6 ft.,Bees
Trichostema lanatum,Woolly Blue Curls,Shrub,3-5 ft.,3-5 ft.,Bees
Abutilon hybrids,Flowering Maple,Shrub,3-10 ft.,3-8 ft.,Hummingbirds
Agave attenuata,Fox Tail Agave,Succulent,4-5 ft.,6-8 ft.,Hummingbirds
Aloe camperi,Torch Aloe,Shrub,2-3 ft.,2-6 ft.,Hummingbirds
Aquilegia formosa,Western Columbine,Perennial,1-3',1-3',Hummingbirds
Arctostaphylos densiflora 'Austin Griffiths',Austin Griffiths Manzanita,Shrub,9 ft.,7 ft.,Hummingbirds
Arctostaphylos 'Emerald Carpet',Manzanita Emerald Carpet,Shrub,1 ft.,3-5 ft.,Hummingbirds
Cuphea 'Hummingbird's Lunch',Hummingbird's Lunch Firecracker Plant,Perennial,2.2 ft.,3 ft.,Hummingbirds
Cuphea 'Strybing Sunset',Orange Bunny Ears,Shrub,3-4 ft.,3-4 ft.,Hummingbirds
Diplacus (Mimulus) aurantiacus,Sticky Monkey Flower,Shrub,1-3',1-3',Hummingbirds
Dudleya farinosa,Live Forever,Succulent,0.4-0.8 ft.,0.75 ft.,Hummingbirds
Epilobium canum,California Fuchsia,Perennial,1-3',3-6',Hummingbirds
Fuchsia triphylla 'Firecracker',Firecracker Fuchsia,Shrub,1-3',1-3',Hummingbirds
Gambelia speciosa,Island Bush Snapdragon,Shrub,2-3 ft.,3-5 ft.,Hummingbirds
Hesperaloe parviflora,Red Yucca,Succulent,3-6',3-6',Hummingbirds
Heuchera 'Old La Rochette',Old Rochette Coral Bells,Perennial,Under 1',Under 1',Hummingbirds
Kniphofia uvaria,Red Hot Poker,Perennial,3 ft.,2-3 ft.,Hummingbirds
Lepechinia fragrans,Pitcher Sage,Perennial,3-5 ft.,3-5 ft.,Hummingbirds
Lonicera ciliosa,Orange Honeysuckle,Vine,6-20 ft.,6-10 ft.,Hummingbirds
Lonicera hispidula,California Honeysuckle,Shrub,6-12',6-12',Hummingbirds
Mahonia aquifolium,Oregon Grape,Broadleaf Evergreen,3-6',3-6',Hummingbirds
Mimulus aurantiacus,Sticky Monkey Flower,Shrub,3-5 ft.,5 ft.,Hummingbirds
Mimulus cardinalis,Scarlet Monkey Flower,Ground Cover,1.5-3 ft.,3 ft.,Hummingbirds
Monardella villosa,Coyote Mint,Shrub,1-3',1-3',Hummingbirds
Penstemon centranthifolius,Scarlet-Bugler,Perennial,2-4 ft.,2-4 ft.,Hummingbirds
Ribes aureum var. gracillimum,Golden Currant,Shrub,3-6',6-12',Hummingbirds
Ribes sanguineum glutinosum,Winter Currant,Shrub,6-12',3-6',Hummingbirds
Ribes speciosum,Fuchsia-Flowering Gooseberry,Shrub,6-10 ft.,3-8 ft.,Hummingbirds
Salvia clevelandii 'Winnifred Gilman',Winnifred Gilman Dark Blue Sage,Shrub,4-5 ft.,4-5 ft.,Hummingbirds
Salvia elegans,Pineapple Sage,Perennial,3-6',"1-3', 3-6'",Hummingbirds
Salvia mellifera,Black or Honey Sage,Shrub,5 ft.,2-3 ft.,Hummingbirds
Salvia sonomensis 'Mrs. Beard',Mrs. Beard Creeping Sage,Shrub,1-3',3-6',Hummingbirds
Salvia spathacea,Hummingbird Sage,Shrub,1-3',1-3',Hummingbirds
Salvia x 'Amistad',Friendship Sage,Shrub,3-6',3-6',Hummingbirds
Achillea millefolium,Yarrow,Ground Cover,1-3',1-3',Butterflies
Acmispon glaber,Deerweed,Shrub,1.6-3 ft.,3 ft.,Butterflies
Aesculus californica,California Buckeye,Tree,12-25',12-25',Butterflies
Amorpha californica,California False Indigo Bush,Shrub,10 ft.,6 ft.,Butterflies
Arbutus unedo,Strawberry Tree,Tree,"6-12', 12-25'","6-12', 12-25'",Butterflies
Aristolochia californica,Dutchman's Pipe,Vine,2-20 ft.,2-15 ft.,Butterflies
Artemisia californica,California Sagebrush,Shrub,3-6',3-6',Butterflies
Asclepias californica,California Milkweed,Perennial,3-4 ft.,2 ft.,Butterflies
