Plant ID,Scientific Name,Common Name,Main Pollinators,,,
1,Eschscholzia californica,California Poppy,Native bees,,,
2,Achillea millefolium,Yarrow,"Bees, butterflies",,,
3,Asclepias fascicularis,Narrowleaf Milkweed,"Monarchs, bees",,,
4,Asclepias speciosa,Showy Milkweed,"Monarchs, bees",,,
5,Eriogonum fasciculatum,California Buckwheat,"Native bees, butterflies",,,
6,Eriogonum umbellatum,Sulphur Buckwheat,Bees,,,
7,Monardella villosa,Coyote Mint,Bumble bees,,,
8,Salvia spathacea,Hummingbird Sage,Hummingbirds,,,
9,Salvia clevelandii,Cleveland Sage,"Bees, hummingbirds",,,
10,Salvia mellifera,Black Sage,Native bees,,,
11,Salvia apiana,White Sage,Native bees,,,
12,Salvia leucophylla,Purple Sage,Bees,,,
13,Epilobium canum,California Fuchsia,Hummingbirds,,,
14,Sisyrinchium bellum,Blue-eyed Grass,Small bees,,,
15,Iris douglasiana,Douglas Iris,Bumble bees,,,
16,Diplacus aurantiacus,Sticky Monkey Flower,Hummingbirds,,,
17,Diplacus longiflorus,Bush Monkey Flower,Hummingbirds,,,
18,Symphyotrichum chilense,California Aster,"Bees, butterflies",,,
19,Erigeron glaucus,Seaside Daisy,Bees,,,
20,Erigeron foliosus,Fleabane Daisy,Bees,,,
21,Solidago velutina,California Goldenrod,"Bees, butterflies",,,
22,Grindelia camporum,Gumplant,Native bees,,,
23,Helianthus californicus,California Sunflower,Bees,,,
24,Madia elegans,Common Tarweed,Native bees,,,
25,Layia platyglossa,Tidy Tips,Bees,,,
26,Nemophila menziesii,Baby Blue Eyes,Bees,,,
27,Collinsia heterophylla,Chinese Houses,Bumble bees,,,
28,Solanum umbelliferum,Blue Witch,Bumble bees,,,
29,Phacelia californica,California Phacelia,Native bees,,,
30,Phacelia tanacetifolia,Tansy Phacelia,Native bees,,,
31,Trichostema lanatum,Woolly Bluecurls,Hummingbirds,,,
32,Ceanothus thyrsiflorus,Blueblossom Ceanothus,Native bees,,,
33,Ceanothus griseus,Carmel Ceanothus,Native bees,,,
34,Acmispon glaber,Deerweed,"Bees, butterflies",,,
35,Heteromeles arbutifolia,Toyon,Bees,,,
36,Frangula californica,Coffeeberry,Bees,,,
37,Cercis occidentalis,Western Redbud,Mason bees,,,
38,Rosa californica,California Rose,Native bees,,,
39,Galvezia speciosa,Island Snapdragon,Hummingbirds,,,
40,Ribes malvaceum,Chaparral Currant,Hummingbirds,,,
41,Ribes aureum,Golden Currant,Bees,,,
42,Ribes speciosum,Fuchsia-flowered Gooseberry,Hummingbirds,,,
43,Arctostaphylos manzanita,Common Manzanita,Bumble bees,,,
44,Arctostaphylos densiflora,Howard McMinn Manzanita,Native bees,,,
45,Eriodictyon californicum,Yerba Santa,Native bees,,,
46,Scrophularia californica,California Figwort,Bees,,,
47,Delphinium cardinale,Scarlet Larkspur,Hummingbirds,,,
48,Aquilegia formosa,Western Columbine,Hummingbirds,,,
49,Wyethia angustifolia,Narrowleaf Mule Ears,Native bees,,,
50,Lupinus arboreus,Yellow Bush Lupine,Native bees,,,
51,Lupinus bicolor,Miniature Lupine,Native bees,,,
52,Lupinus succulentus,Arroyo Lupine,Native bees,,,
53,Lupinus nanus,Sky Lupine,Native bees,,,
54,Penstemon heterophyllus,Foothill Penstemon,Hummingbirds,,,
55,Penstemon spectabilis,Showy Penstemon,Hummingbirds,,,
56,Penstemon centranthifolius,Scarlet Bugler,Hummingbirds,,,
57,Penstemon eatonii,Firecracker Penstemon,Hummingbirds,,,
58,Verbena lasiostachys,Western Verbena,Butterflies,,,
59,Verbena lilacina,Lilac Verbena,Butterflies,,,
60,Oenothera elata,Evening Primrose,"Moths, bees",,,
61,Oenothera californica,California Evening Primrose,Moths,,,
62,Dodecatheon clevelandii,Shooting Star,Native bees,,,
63,Dodecatheon hendersonii,Henderson's Shooting Star,Native bees,,,
64,Lasthenia californica,Goldfields,Bees,,,
65,Coreopsis gigantea,Giant Coreopsis,Bees,,,
66,Coreopsis maritima,Sea Dahlia,Bees,,,
67,Encelia californica,California Bush Sunflower,Bees,,,
68,Baccharis pilularis,Coyote Brush,Native bees,,,
69,Baccharis salicifolia,Mule Fat,Bees,,,
70,Isocoma menziesii,Coast Goldenbush,Bees,,,
71,Brickellia californica,California Brickellbush,Butterflies,,,
72,Atriplex lentiformis,Quailbush,Native insects,,,
73,Malacothamnus fasciculatus,Chaparral Mallow,Native bees,,,
74,Sphaeralcea ambigua,Desert Globemallow,Bees,,,
75,Fremontodendron californicum,California Flannelbush,Native bees,,,
76,Romneya coulteri,Matilija Poppy,"Beetles, bees",,,
77,Romneya trichocalyx,Bridal Wreath Poppy,Bees,,,
78,Calochortus luteus,Yellow Mariposa Lily,Native bees,,,
79,Calochortus venustus,Butterfly Mariposa Lily,Native bees,,,
80,Brodiaea elegans,Harvest Brodiaea,Native bees,,,
81,Brodiaea californica,California Brodiaea,Native bees,,,
82,Triteleia laxa,Ithuriel's Spear,Bees,,,
83,Triteleia hyacinthina,White Brodiaea,Bees,,,
84,Clarkia amoena,Farewell-to-Spring,Native bees,,,
85,Clarkia unguiculata,Elegant Clarkia,Native bees,,,
86,Clarkia purpurea,Purple Clarkia,Native bees,,,
87,Clarkia rubicunda,Farewell-to-Spring Pink,Native bees,,,
88,Gilia capitata,Globe Gilia,Native bees,,,
89,Gilia tricolor,Bird's Eyes Gilia,Native bees,,,
90,Lepechinia fragrans,Fragrant Pitcher Sage,Hummingbirds,,,
91,Lepechinia calycina,Pitcher Sage,Bees,,,
92,Mimulus guttatus,Seep Monkeyflower,Bees,,,
93,Keckiella cordifolia,Climbing Penstemon,Hummingbirds,,,
94,Keckiella antirrhinoides,Yellow Bush Penstemon,Bees,,,
95,Astragalus pomonensis,Pomona Milkvetch,Native bees,,,
96,Astragalus trichopodus,Milkvetch,Native bees,,,
97,Lotus scoparius,California Broom,Native bees,,,
98,Lotus formosissimus,Seaside Bird's-foot Lotus,Native bees,,,
99,Viguiera laciniata,San Diego Sunflower,Bees,,,
100,Hazardia squarrosa,Sawtooth Goldenbush,Native bees,,,
